l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp
512.0,64000.0,3136.0,64.0,3.0,26.0,2.0,44.0,5.0,6.0,3.0,4.0,3.0,1.0,6.0,3.0,5.0,1.0,1.0,6.0,6.0,2.0,2.0,4.0,5.0,5.0,5.0,3.0,6.0,1.0,1.0,2.0,1.0,4096.0,1.0,256.0,2048.0,1.0,1.0,1.0,1.0,2.0,16.0,1.0,4.0,3.0,6.0,1.0,5.0,4.0,3.0,6.0,5.0,3.0,5.0,2.0,2.0,1.0,3.0,3.0,3.0,5.0,512.0,1024.0,1.0,16.0,512.0,1.0,1.0,1.0,1.0,32.0,160.0,1.0,2308989818.0,32567771.8,19708500000.0,160.5752222222222,3136.0,10.0,16973824.0,7.519865348114754e+16
8192.0,128000.0,3136.0,64.0,3.0,4.0,20.0,18.0,3.0,5.0,6.0,6.0,1.0,2.0,1.0,2.0,3.0,6.0,2.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,16.0,8.0,1.0,512.0,256.0,1.0,1.0,1.0,1.0,128.0,2.0,1.0,1.0,6.0,4.0,1.0,5.0,5.0,3.0,6.0,1.0,4.0,4.0,3.0,3.0,1.0,5.0,5.0,6.0,4.0,1024.0,1024.0,1.0,96.0,12.0,1.0,1.0,1.0,1.0,64.0,5.0,1.0,3170525209.0,34615232.0,19706800000.0,124.5671111111111,3136.0,10.0,339968.0,1.0974846567138349e+17
4096.0,32000.0,3136.0,64.0,3.0,4.0,8.0,36.0,6.0,3.0,2.0,3.0,5.0,1.0,3.0,2.0,4.0,1.0,5.0,2.0,3.0,4.0,5.0,3.0,6.0,2.0,6.0,1.0,4.0,4.0,2.0,1.0,256.0,64.0,1.0,2048.0,256.0,1.0,1.0,1.0,1.0,128.0,128.0,1.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,4.0,5.0,6.0,5.0,5.0,5.0,2.0,32.0,2048.0,1.0,3.0,24.0,1.0,1.0,1.0,1.0,1.0,320.0,1.0,3424659534.0,32497063.8,19708000000.0,147.00066666666666,3136.0,10.0,11665408.0,1.1129137936967627e+17
1024.0,256000.0,3136.0,64.0,3.0,28.0,8.0,24.0,3.0,3.0,1.0,4.0,3.0,6.0,1.0,6.0,5.0,2.0,1.0,2.0,1.0,6.0,5.0,5.0,5.0,1.0,6.0,3.0,4.0,4.0,3.0,6.0,2048.0,64.0,1.0,512.0,32.0,1.0,1.0,1.0,1.0,16.0,4.0,1.0,5.0,4.0,1.0,6.0,2.0,2.0,5.0,5.0,1.0,1.0,5.0,2.0,3.0,6.0,1.0,4.0,2.0,2.0,128.0,1.0,1.0,1536.0,16.0,1.0,1.0,1.0,1.0,20.0,20.0,1.0,528031908.0,37988306.0,19707000000.0,127.90544444444444,3136.0,10.0,2179072.0,2.005903769886785e+16
2048.0,512000.0,3136.0,64.0,3.0,8.0,34.0,6.0,5.0,6.0,4.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,4.0,1.0,4.0,5.0,6.0,6.0,2.0,3.0,5.0,6.0,5.0,4.0,4.0,1.0,512.0,4.0,1.0,64.0,512.0,1.0,1.0,1.0,1.0,32.0,16.0,1.0,1.0,4.0,5.0,6.0,5.0,5.0,2.0,5.0,3.0,1.0,2.0,3.0,6.0,4.0,3.0,2.0,6.0,6.0,8.0,256.0,1.0,8.0,768.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,146391221.0,35838963.3,19707400000.0,142.22488888888887,3136.0,10.0,6082560.0,5246509596861189.0
16000.0,32000.0,3136.0,64.0,3.0,34.0,40.0,40.0,2.0,4.0,4.0,3.0,3.0,5.0,1.0,2.0,5.0,4.0,1.0,3.0,3.0,6.0,5.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,6.0,6.0,256.0,2.0,1.0,32.0,64.0,1.0,1.0,1.0,1.0,1.0,128.0,1.0,6.0,6.0,3.0,3.0,5.0,1.0,3.0,1.0,5.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,6.0,1.0,4.0,4096.0,1.0,512.0,768.0,1.0,1.0,1.0,1.0,32.0,80.0,1.0,15586287236.0,32912022.0,19707500000.0,137.40955555555556,3136.0,10.0,7069696.0,5.1297622840955117e+17
1024.0,8192000.0,3136.0,64.0,3.0,42.0,22.0,12.0,1.0,3.0,4.0,5.0,1.0,5.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,1.0,1.0,6.0,6.0,3.0,2.0,16.0,1.0,8.0,16.0,1.0,1.0,1.0,1.0,32.0,64.0,1.0,1.0,2.0,6.0,6.0,6.0,1.0,3.0,1.0,6.0,6.0,4.0,6.0,2.0,3.0,5.0,5.0,5.0,3.0,4096.0,64.0,1.0,1024.0,512.0,1.0,1.0,1.0,1.0,32.0,4.0,1.0,4165099253.0,34251242.0,19708000000.0,146.05522222222223,3136.0,10.0,11665408.0,1.4265982246852222e+17
32000.0,64000.0,3136.0,64.0,3.0,24.0,32.0,10.0,4.0,3.0,5.0,5.0,2.0,1.0,5.0,2.0,6.0,6.0,1.0,4.0,1.0,1.0,5.0,6.0,5.0,3.0,3.0,3.0,1.0,6.0,2.0,4.0,32.0,1.0,1.0,4.0,256.0,1.0,1.0,1.0,1.0,64.0,128.0,1.0,3.0,3.0,1.0,6.0,4.0,3.0,6.0,6.0,4.0,3.0,5.0,6.0,2.0,4.0,3.0,3.0,6.0,6.0,64.0,2.0,1.0,96.0,128.0,1.0,1.0,1.0,1.0,40.0,2.0,1.0,649031716.0,36407893.0,19706800000.0,123.88233333333334,3136.0,10.0,90112.0,2.3629877269734388e+16
2048000.0,64000.0,3136.0,64.0,3.0,6.0,42.0,24.0,3.0,3.0,1.0,5.0,2.0,6.0,3.0,6.0,3.0,2.0,4.0,6.0,2.0,4.0,5.0,4.0,6.0,6.0,2.0,5.0,6.0,2.0,3.0,4.0,4096.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,6.0,6.0,6.0,6.0,6.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,6.0,5.0,5.0,2.0,512.0,1.0,4.0,512.0,1.0,1.0,1.0,1.0,20.0,4.0,1.0,446615911.0,37619282.0,19706800000.0,125.19388888888889,3136.0,10.0,565248.0,1.6801369901595902e+16
128.0,32000.0,3136.0,64.0,3.0,8.0,8.0,22.0,1.0,1.0,6.0,3.0,6.0,1.0,3.0,1.0,4.0,5.0,3.0,4.0,2.0,6.0,2.0,2.0,3.0,5.0,1.0,5.0,3.0,5.0,1.0,5.0,8.0,2.0,1.0,128.0,64.0,1.0,1.0,1.0,1.0,8.0,4.0,1.0,2.0,4.0,3.0,6.0,2.0,5.0,2.0,5.0,1.0,6.0,6.0,1.0,2.0,6.0,5.0,1.0,1.0,2.0,1024.0,4096.0,1.0,32.0,3072.0,1.0,1.0,1.0,1.0,80.0,160.0,1.0,3163058668.0,37134620.0,19709600000.0,176.32077777777778,3136.0,10.0,27459584.0,1.1745898167388616e+17
