l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,o_c_out_2,o_k_out_2,o_x_out_2,o_y_out_2,o_r_out_2,o_s_out_2,o_c_mid_2,o_k_mid_2,o_x_mid_2,o_y_mid_2,o_r_mid_2,o_s_mid_2,o_c_in_2,o_k_in_2,o_x_in_2,o_y_in_2,o_r_in_2,o_s_in_2,t_c_d1_2,t_c_d2_2,t_c_d3_2,t_k_d1_2,t_k_d2_2,t_k_d3_2,t_x_d1_2,t_x_d2_2,t_x_d3_2,t_y_d1_2,t_y_d2_2,t_y_d3_2,o_c_out_3,o_k_out_3,o_x_out_3,o_y_out_3,o_r_out_3,o_s_out_3,o_c_mid_3,o_k_mid_3,o_x_mid_3,o_y_mid_3,o_r_mid_3,o_s_mid_3,o_c_in_3,o_k_in_3,o_x_in_3,o_y_in_3,o_r_in_3,o_s_in_3,t_c_d1_3,t_c_d2_3,t_c_d3_3,t_k_d1_3,t_k_d2_3,t_k_d3_3,t_x_d1_3,t_x_d2_3,t_x_d3_3,t_y_d1_3,t_y_d2_3,t_y_d3_3,o_c_out_4,o_k_out_4,o_x_out_4,o_y_out_4,o_r_out_4,o_s_out_4,o_c_mid_4,o_k_mid_4,o_x_mid_4,o_y_mid_4,o_r_mid_4,o_s_mid_4,o_c_in_4,o_k_in_4,o_x_in_4,o_y_in_4,o_r_in_4,o_s_in_4,t_c_d1_4,t_c_d2_4,t_c_d3_4,t_k_d1_4,t_k_d2_4,t_k_d3_4,t_x_d1_4,t_x_d2_4,t_x_d3_4,t_y_d1_4,t_y_d2_4,t_y_d3_4,o_c_out_5,o_k_out_5,o_x_out_5,o_y_out_5,o_r_out_5,o_s_out_5,o_c_mid_5,o_k_mid_5,o_x_mid_5,o_y_mid_5,o_r_mid_5,o_s_mid_5,o_c_in_5,o_k_in_5,o_x_in_5,o_y_in_5,o_r_in_5,o_s_in_5,t_c_d1_5,t_c_d2_5,t_c_d3_5,t_k_d1_5,t_k_d2_5,t_k_d3_5,t_x_d1_5,t_x_d2_5,t_x_d3_5,t_y_d1_5,t_y_d2_5,t_y_d3_5,o_c_out_6,o_k_out_6,o_x_out_6,o_y_out_6,o_r_out_6,o_s_out_6,o_c_mid_6,o_k_mid_6,o_x_mid_6,o_y_mid_6,o_r_mid_6,o_s_mid_6,o_c_in_6,o_k_in_6,o_x_in_6,o_y_in_6,o_r_in_6,o_s_in_6,t_c_d1_6,t_c_d2_6,t_c_d3_6,t_k_d1_6,t_k_d2_6,t_k_d3_6,t_x_d1_6,t_x_d2_6,t_x_d3_6,t_y_d1_6,t_y_d2_6,t_y_d3_6,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp
16000.0,2048000.0,3136.0,64.0,3.0,2.0,24.0,36.0,3.0,1.0,3.0,4.0,6.0,5.0,3.0,6.0,3.0,1.0,6.0,1.0,1.0,3.0,2.0,2.0,2.0,6.0,6.0,6.0,4.0,4.0,6.0,4.0,4.0,2.0,1.0,1536.0,192.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,3.0,6.0,6.0,1.0,4.0,3.0,6.0,4.0,5.0,3.0,3.0,6.0,5.0,3.0,2.0,1.0,64.0,1.0,128.0,32.0,1.0,2.0,128.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,6.0,5.0,4.0,6.0,2.0,3.0,5.0,2.0,1.0,4.0,5.0,1.0,1.0,6.0,5.0,32.0,1.0,1.0,4.0,2.0,1.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,4.0,1.0,6.0,3.0,5.0,4.0,5.0,4.0,2.0,2.0,5.0,6.0,4.0,2.0,6.0,16.0,32.0,1.0,512.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,6.0,2.0,2.0,4.0,2.0,2.0,64.0,512.0,1.0,2048.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,1.0,4.0,1.0,5.0,5.0,2.0,5.0,2.0,2.0,4.0,1.0,5.0,2.0,64.0,2048.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,5.0,5.0,2.0,3.0,4.0,1.0,4.0,2.0,5.0,6.0,1.0,5.0,2.0,3.0,4.0,1.0,512.0,1.0,128.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7256094737.0,13763147.059999999,19707200000.0,125.92311805555556,3136.0,514.0,2752512.0,9.9866698946623e+16
1024000.0,2048000.0,3136.0,64.0,3.0,30.0,42.0,24.0,1.0,4.0,5.0,1.0,1.0,4.0,6.0,4.0,1.0,1.0,4.0,3.0,6.0,5.0,1.0,4.0,5.0,1.0,1.0,2.0,5.0,3.0,2.0,2.0,64.0,2.0,1.0,16.0,768.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,6.0,2.0,3.0,2.0,1.0,6.0,4.0,1.0,4.0,4.0,6.0,6.0,16.0,64.0,1.0,4.0,64.0,1.0,64.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,5.0,1.0,1.0,5.0,2.0,2.0,1.0,3.0,6.0,1.0,1.0,3.0,5.0,16.0,4.0,1.0,2.0,128.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,3.0,2.0,6.0,4.0,2.0,4.0,4.0,2.0,1.0,3.0,2.0,5.0,1.0,6.0,1.0,32.0,4.0,1.0,512.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,5.0,1.0,4.0,2.0,3.0,2.0,6.0,6.0,3.0,2.0,5.0,6.0,4.0,1.0,1.0,64.0,1.0,128.0,2048.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,6.0,2.0,5.0,5.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,128.0,32.0,1.0,16.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,2.0,1.0,3.0,1.0,1.0,4.0,5.0,2.0,5.0,1.0,4.0,5.0,1.0,4.0,2.0,5.0,256.0,512.0,1.0,4.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,590099861.0,12246740.8,19707000000.0,125.36832291666667,3136.0,514.0,802816.0,7226800043783029.0
16000.0,64000.0,3136.0,64.0,3.0,36.0,12.0,48.0,6.0,3.0,2.0,4.0,2.0,6.0,5.0,4.0,3.0,5.0,2.0,6.0,4.0,3.0,6.0,3.0,3.0,4.0,3.0,2.0,1.0,6.0,5.0,6.0,512.0,16.0,1.0,24.0,1536.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,6.0,1.0,5.0,2.0,64.0,1.0,16.0,128.0,1.0,1.0,64.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,6.0,5.0,2.0,4.0,1.0,3.0,1.0,6.0,6.0,1.0,4.0,5.0,4.0,4.0,3.0,32.0,16.0,1.0,32.0,32.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,1.0,2.0,1.0,5.0,1.0,4.0,3.0,3.0,6.0,1.0,3.0,5.0,1.0,8.0,64.0,1.0,16.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,4.0,4.0,6.0,3.0,6.0,3.0,5.0,128.0,16.0,1.0,16.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,5.0,2.0,2.0,4.0,5.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,1.0,64.0,8.0,1.0,256.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,6.0,5.0,4.0,3.0,6.0,5.0,4.0,3.0,1.0,1.0,2.0,5.0,2.0,1.0,5.0,512.0,2.0,1.0,1.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3161462705.0,11850787.52,19707100000.0,125.63902083333333,3136.0,514.0,2097152.0,3.746582276935944e+16
2048000.0,128000.0,3136.0,64.0,3.0,14.0,6.0,14.0,6.0,4.0,1.0,5.0,5.0,6.0,3.0,6.0,6.0,6.0,2.0,1.0,5.0,3.0,1.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,1.0,2.0,1.0,512.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,5.0,6.0,5.0,5.0,6.0,3.0,1.0,2.0,6.0,2.0,6.0,2.0,4.0,5.0,5.0,32.0,4.0,1.0,32.0,32.0,1.0,1.0,64.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,6.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,4.0,6.0,1.0,1.0,5.0,5.0,3.0,1.0,4.0,3.0,5.0,2.0,3.0,1.0,64.0,4.0,1.0,32.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,2.0,4.0,3.0,6.0,6.0,4.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,6.0,128.0,512.0,1.0,512.0,1024.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,1.0,4.0,1.0,6.0,5.0,4.0,2.0,2.0,4.0,1.0,6.0,3.0,2.0,4.0,1.0,1.0,512.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,2.0,6.0,2.0,5.0,5.0,2.0,1.0,5.0,2.0,3.0,2.0,6.0,2.0,4.0,4.0,32.0,64.0,1.0,256.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4737727779.0,11974820.240000002,19707100000.0,125.66370833333333,3136.0,514.0,1441792.0,5.673343849957946e+16
2048000.0,4096000.0,3136.0,64.0,3.0,6.0,10.0,40.0,5.0,3.0,2.0,2.0,2.0,6.0,3.0,3.0,3.0,6.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,16.0,128.0,1.0,128.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,6.0,6.0,2.0,6.0,3.0,1.0,6.0,4.0,2.0,4.0,6.0,3.0,1.0,5.0,6.0,4.0,16.0,64.0,1.0,16.0,32.0,1.0,128.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,6.0,3.0,5.0,2.0,6.0,4.0,6.0,3.0,5.0,3.0,32.0,4.0,1.0,2.0,32.0,1.0,16.0,64.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,5.0,5.0,3.0,3.0,5.0,1.0,4.0,4.0,5.0,6.0,6.0,6.0,2.0,6.0,6.0,128.0,256.0,1.0,256.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,1.0,4.0,1.0,5.0,1.0,4.0,5.0,4.0,4.0,3.0,6.0,1.0,2.0,6.0,32.0,4.0,1.0,1.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,5.0,5.0,2.0,2.0,4.0,5.0,6.0,6.0,6.0,2.0,6.0,1.0,6.0,5.0,6.0,1.0,1024.0,16.0,1.0,64.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,3.0,2.0,5.0,5.0,3.0,4.0,1.0,1.0,2.0,5.0,2.0,5.0,2.0,1.0,5.0,256.0,8.0,1.0,128.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,323543895.0,12173055.06,19707000000.0,125.29751388888889,3136.0,514.0,557056.0,3938517648161859.0
64000.0,512000.0,3136.0,64.0,3.0,8.0,46.0,36.0,3.0,6.0,4.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,5.0,2.0,3.0,6.0,4.0,4.0,5.0,6.0,6.0,1.0,3.0,5.0,6.0,5.0,256.0,128.0,1.0,512.0,192.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,4.0,5.0,1.0,3.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,5.0,3.0,2.0,2.0,64.0,16.0,1.0,8.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,2.0,3.0,3.0,1.0,5.0,5.0,4.0,1.0,5.0,4.0,3.0,5.0,6.0,3.0,2.0,1.0,128.0,1.0,128.0,8.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0,2.0,4.0,3.0,3.0,1.0,4.0,2.0,5.0,6.0,5.0,4.0,3.0,5.0,6.0,5.0,4.0,64.0,1.0,2.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,6.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,6.0,6.0,2.0,5.0,3.0,4.0,3.0,2.0,8.0,8.0,1.0,16.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,5.0,5.0,2.0,1.0,3.0,5.0,4.0,2.0,3.0,5.0,1.0,4.0,2.0,4.0,1.0,8.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,5.0,1.0,6.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,5.0,6.0,2.0,32.0,512.0,1.0,512.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1844378044.0,16962164.89,19707000000.0,125.23775694444444,3136.0,514.0,786432.0,3.1284644501823676e+16
2048000.0,32000000.0,3136.0,64.0,3.0,8.0,40.0,20.0,2.0,4.0,5.0,4.0,3.0,6.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,3.0,2.0,1.0,4.0,5.0,3.0,6.0,1.0,1.0,2.0,4.0,128.0,16.0,1.0,128.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,4.0,3.0,3.0,5.0,1.0,6.0,5.0,5.0,2.0,6.0,2.0,3.0,2.0,3.0,5.0,1.0,32.0,1.0,1.0,32.0,1.0,32.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,3.0,5.0,6.0,1.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,8.0,64.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,2.0,4.0,1.0,4.0,6.0,2.0,1.0,1.0,5.0,3.0,1.0,4.0,5.0,256.0,16.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,4.0,2.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,6.0,3.0,5.0,1.0,1.0,1.0,4.0,1.0,32.0,1.0,16.0,2048.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,3.0,5.0,5.0,6.0,1.0,4.0,3.0,3.0,1.0,6.0,4.0,6.0,3.0,1.0,1.0,2.0,8.0,1.0,8.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,4.0,4.0,3.0,6.0,2.0,3.0,2.0,2.0,6.0,5.0,1.0,3.0,6.0,1.0,1.0,8.0,4.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1292814321.0,13587090.52,19707000000.0,125.21452777777777,3136.0,514.0,663552.0,1.7565585204979336e+16
32000.0,64000.0,3136.0,64.0,3.0,4.0,30.0,40.0,5.0,6.0,4.0,5.0,5.0,6.0,6.0,3.0,2.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,2.0,1.0,5.0,6.0,3.0,4.0,1.0,3.0,16.0,32.0,1.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,2.0,6.0,3.0,5.0,3.0,2.0,6.0,4.0,5.0,1.0,2.0,6.0,3.0,6.0,4.0,8.0,1.0,8.0,128.0,1.0,16.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,4.0,2.0,6.0,6.0,5.0,2.0,4.0,1.0,3.0,5.0,2.0,64.0,16.0,1.0,4.0,128.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,4.0,5.0,4.0,1.0,6.0,3.0,3.0,6.0,1.0,1.0,5.0,4.0,4.0,6.0,5.0,4.0,1.0,256.0,32.0,1.0,2.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,5.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,6.0,5.0,6.0,3.0,6.0,4.0,6.0,4.0,2.0,2.0,3.0,6.0,2.0,5.0,4.0,2.0,8.0,1.0,128.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,6.0,5.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,2.0,6.0,16.0,4.0,1.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1451695286.0,25894230.64,19706900000.0,125.08340277777778,3136.0,514.0,114688.0,3.759053255468476e+16
512.0,32000.0,3136.0,64.0,3.0,20.0,18.0,6.0,3.0,2.0,5.0,2.0,5.0,1.0,2.0,4.0,2.0,5.0,4.0,6.0,3.0,3.0,2.0,6.0,6.0,4.0,3.0,5.0,6.0,1.0,6.0,2.0,256.0,128.0,1.0,96.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,6.0,2.0,6.0,4.0,4.0,3.0,2.0,1.0,1.0,4.0,16.0,1.0,64.0,8.0,1.0,1.0,128.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,2.0,6.0,6.0,3.0,2.0,6.0,6.0,4.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,16.0,8.0,1.0,16.0,16.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,3.0,4.0,5.0,2.0,5.0,2.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,4.0,16.0,128.0,1.0,2.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,1.0,1.0,3.0,3.0,3.0,5.0,5.0,6.0,3.0,2.0,2.0,4.0,5.0,3.0,64.0,64.0,1.0,2048.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,4.0,1.0,3.0,1.0,5.0,6.0,1.0,3.0,2.0,5.0,1.0,2.0,6.0,6.0,5.0,512.0,128.0,1.0,32.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,5.0,6.0,5.0,5.0,1.0,4.0,1.0,5.0,3.0,6.0,2.0,3.0,4.0,3.0,1.0,4.0,1.0,1024.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2048594073.0,12303202.600000001,19707000000.0,125.34763194444444,3136.0,514.0,802816.0,2.520426792527819e+16
128.0,1024000.0,3136.0,64.0,3.0,40.0,28.0,36.0,6.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,2.0,3.0,4.0,3.0,1.0,6.0,1.0,4.0,4.0,1.0,4.0,2.0,5.0,5.0,1.0,4.0,512.0,256.0,1.0,48.0,192.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,6.0,3.0,1.0,1.0,4.0,5.0,3.0,1.0,4.0,2.0,1.0,2.0,4.0,4.0,16.0,4.0,1.0,64.0,1.0,1.0,32.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,5.0,1.0,5.0,3.0,6.0,5.0,4.0,6.0,4.0,1.0,1.0,5.0,4.0,5.0,1.0,32.0,32.0,1.0,128.0,128.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,1.0,2.0,4.0,8.0,64.0,1.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,5.0,2.0,2.0,6.0,6.0,4.0,4.0,2.0,3.0,5.0,6.0,4.0,32.0,1.0,512.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,5.0,4.0,2.0,2.0,6.0,5.0,4.0,1.0,4.0,3.0,6.0,3.0,3.0,1.0,128.0,16.0,1.0,128.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,6.0,1.0,6.0,5.0,1.0,2.0,3.0,2.0,5.0,1.0,6.0,2.0,3.0,2.0,3.0,16.0,32.0,1.0,1024.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3763237446.0,12204526.659999998,19707000000.0,125.34613888888889,3136.0,514.0,622592.0,4.5928531737617304e+16
