Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW Req (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width, Offchip BW Req (Elements/cycle),  L2 SRAM Size Req (Bytes), L1 SRAM Size Req (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
MobileNetV2,CONV1,3080,157921,4687.1,7.62548,1.62691e+06,1.92671e+10,121368,5,5.71429,5,1,5,2864,6,1,1,150528,96,2.56923e+11,1204224,3764.68,63.756,9.8808,117529,1204224, 37632, 37632, 150528, 32, 1204224, 3616, 3616, 96, 333.027, 1204224, 1204224, 1605632, 903168, 1, 1, 1, 1, 1, 1, 1, 235, 235, 235, 8, 32
MobileNetV2,Bottleneck1_1_1,3080,1205009,12835.9,10.6597,830464,1.92671e+10,121377,1,1.32653,1,1,1,5632,6,1,1,401408,1024,1.00072e+12,12845056,3764.68,63.756,19.4304,117529,12845056, 401408, 401408, 401408, 32, 12845056, 150784, 150784, 1024, 85.1885, 12845056, 12845056, 401408, 1605632, 1, 1, 1, 1, 1, 1, 1, 1537, 1537, 1537, 16, 21.3333
MobileNetV2,Bottleneck1_1_2,3080,43609,25601.9,79.9101,3.12126e+06,1.92671e+10,122030,14,11.5,14,1,14,47008,54,1,1,401408,288,1.36115e+11,3484800,3764.68,573.804,162.178,117529,3484800, 500976, 500976, 401408, 6.95602, 3484800, 3312, 3312, 288, 1052.17, 3484800, 3484800, 387200, 387200, 1, 4, 5, 4, 3, 3, 3, 991, 991, 991, 80, 6.91341
MobileNetV2,Bottleneck1_1_3,3080,302849,14176.1,21.207,1.49597e+06,1.92671e+10,121364,3,3.97321,3,1,3,1920,6,1,1,401408,512,4.53054e+11,6422528,3764.68,63.756,6.624,117529,6422528, 401408, 401408, 401408, 16, 6422528, 512, 512, 512, 12544, 6422528, 6422528, 200704, 1204224, 1, 1, 1, 1, 1, 1, 1, 169, 169, 169, 32, 16
MobileNetV2,Bottleneck1_1_Residual,3080,3136,12609.7,64,5.07547e+06,1.92671e+10,121556,126,126.714,126,1,126,57360,6,1,1,200704,16,1.59167e+10,200704,3764.68,63.756,197.892,117529,200704, 189056, 189056, 200704, 1.06161, 200704, 64, 64, 16, 3136, 200704, 200704, 200704, 200704, 1, 5, 5, 5, 5, 5, 5, 113, 113, 113, 128, 1.06603
MobileNetV2,Bottleneck2_1_1,3080,251329,12818.8,76.6628,5.98052e+06,1.92671e+10,121437,17,9.5625,17,1,17,22912,6,1,1,200704,1536,1.50308e+12,19267584,3764.68,63.756,79.0464,117529,19267584, 200704, 200704, 200704, 96, 19267584, 93888, 93888, 1536, 205.219, 19267584, 19267584, 1204224, 2408448, 1, 1, 1, 1, 1, 4, 2, 561, 561, 561, 96, 112
MobileNetV2,Bottleneck2_1_2,3080,25480,45970.8,315.082,6.85396e+06,1.92671e+10,122348,343,137.675,343,1,374,139104,54,1,1,1204224,864,1.74639e+11,8028288,3764.68,573.804,479.909,117529,8028288, 1493232, 1493232, 1204224, 5.37645, 8028288, 864, 864, 864, 9292, 8028288, 8028288, 1161600, 1056864, 1, 12, 14, 12, 2, 10, 9, 109, 325, 303, 228, 1.06154
MobileNetV2,Bottleneck2_1_3,3080,86119,19500.4,335.598,1.72098e+07,1.92671e+10,121893,10,10.375,10,1,10,155136,6,1,1,301056,9216,1.48209e+12,28901376,3764.68,63.756,535.219,117529,28901376, 301056, 301056, 301056, 96, 28901376, 7488, 7488, 9216, 3859.69, 28901376, 28901376, 301056, 903168, 1, 6, 7, 6, 18, 18, 18, 5382, 5382, 5382, 336, 96
MobileNetV2,Bottleneck2_2_1,3080,86119,51303.7,335.598,6.5414e+06,1.92671e+10,121893,10,10.375,10,1,10,155136,6,1,1,301056,9216,5.63339e+11,28901376,3764.68,63.756,535.219,117529,28901376, 301056, 301056, 301056, 96, 28901376, 7488, 7488, 9216, 3859.69, 28901376, 28901376, 301056, 903168, 1, 6, 7, 6, 18, 18, 18, 5382, 5382, 5382, 336, 96
MobileNetV2,Bottleneck2_2_2,3080,20439,48506.3,123.266,2.54123e+06,1.92671e+10,122470,24,14.7778,24,1,24,174528,54,1,1,301056,864,5.19402e+10,2519424,3764.68,573.804,602.122,117529,2519424, 285696, 285696, 301056, 8.81855, 2519424, 864, 864, 864, 2916, 2519424, 2519424, 279936, 279936, 1, 10, 18, 10, 10, 10, 10, 2269, 2269, 2269, 123.429, 9.72
